"店名","住所","URL","タイプ","備考","LocName","fX","fY","iConf","iLvl"
漁や,神奈川県藤沢市辻堂6-13-2,http://members.jcom.home.ne.jp/ryo-ya/,飲食店,,"神奈川県/藤沢市/辻堂/六丁目/１３番","139.44737","35.32715","5","7"
荒川屋ダイニングバ－サンドフィッシュ（Sandfish）,神奈川県横浜市金沢区州崎町6-1,http://r.gnavi.co.jp/b799800/,飲食店,,"神奈川県/横浜市/金沢区","139.62445","35.33769","5","4"
シーサイドスパ八景島,神奈川県横浜市金沢区 柴町361,http://www.seaside-spa.net/index.html,飲食店,,"神奈川県/横浜市/金沢区/柴町/３６１番地","139.64110","35.34249","5","7"
海人市場,神奈川県三浦郡葉山町堀内1815,http://r.gnavi.co.jp/a091200/,飲食店,,"神奈川県/三浦郡/葉山町/堀内/１８１５番地","139.58128","35.27165","5","7"
いのうえつりえさ店,神奈川県藤沢市江の島１丁目６?２２,http://www7a.biglobe.ne.jp/~enoshima-inouetsuriesaten/,飲食店,,"神奈川県/藤沢市/江の島/一丁目/６番","139.48232","35.30058","5","7"
千世,東京都大田区羽田3-2-4,http://ameblo.jp/chiyo-sakanalove/entry-11780487757.html,飲食店,,"東京都/大田区/羽田/三丁目/２番","139.74544","35.54850","5","7"
北前そば高田家　（川崎駅前店）,神奈川県川崎市川崎区駅前本町3-3 ムラタヤビルＢ１Ｆ,http://www.takada-ya.co.jp/,飲食店,,"神奈川県/川崎市/川崎区/駅前本町/３番地","139.69894","35.52975","5","7"
cafe しふぉん,東京都練馬区桜台4丁目32-1 アランコーポＢ1,http://gourmet.suntory.co.jp/shop/0359995088/index.html,飲食店,食材持ち込み応談,"東京都/練馬区/桜台/四丁目/３２番","139.66151","35.74149","5","7"
海人市場,神奈川県三浦郡葉山町堀内1815,http://r.gnavi.co.jp/a091200/,飲食店,,"神奈川県/三浦郡/葉山町/堀内/１８１５番地","139.58128","35.27165","5","7"
海樂人,神奈川県平塚市札場町12-12,http://w-shinjukulunch.seesaa.net/article/273875706.html,飲食店,,"神奈川県/平塚市/札場町/１２番","139.36131","35.32277","5","7"
イトーヨーカドー 赤羽店,北区赤羽西1-7-1,http://blog.itoyokado.co.jp/shop/170,スーパー,要相談,"東京都/北区/赤羽西/一丁目/７番","139.71913","35.77709","5","7"
イトーヨーカドー 昭島店,昭島市田中町562-1,http://blog.itoyokado.co.jp/shop/121,スーパー,要相談,"東京都/昭島市/田中町/５６２番地","139.36221","35.71389","5","7"
イトーヨーカドー 食品館阿佐谷店,東京都杉並区阿佐谷北二丁目13番2号,http://blog.itoyokado.co.jp/shop/255,スーパー,要相談,"東京都/杉並区/阿佐谷北/二丁目/１３番","139.63547","35.70592","5","7"
イトーヨーカドー 食品館小豆沢店,東京都板橋区小豆沢3丁目9番5号,http://blog.itoyokado.co.jp/shop/251,スーパー,要相談,"東京都/板橋区/小豆沢/三丁目/９番","139.69490","35.77990","5","7"
イトーヨーカドー 綾瀬店,足立区綾瀬3-4-25,http://blog.itoyokado.co.jp/shop/117,スーパー,要相談,"東京都/足立区/綾瀬/三丁目/４番","139.82545","35.76272","5","7"
イトーヨーカドー 食品館王子店,東京都北区王子1丁目23番5号,http://blog.itoyokado.co.jp/shop/265,スーパー,要相談,"東京都/北区/王子/一丁目/２３番","139.73969","35.75518","5","7"
イトーヨーカドー 大井町店,品川区大井1丁目3番6号,http://blog.itoyokado.co.jp/shop/176,スーパー,要相談,"東京都/品川区/大井/一丁目/３番","139.73395","35.60721","5","7"
イトーヨーカドー 大森店,大田区大森北2-13-1,http://blog.itoyokado.co.jp/shop/227,スーパー,要相談,"東京都/大田区/大森北/二丁目/１３番","139.73369","35.58641","5","7"
イトーヨーカドー 葛西店,江戸川区東葛西9-3-3,http://blog.itoyokado.co.jp/shop/195,スーパー,要相談,"東京都/江戸川区/東葛西/九丁目/３番","139.88229","35.65300","5","7"
イトーヨーカドー 金町店,葛飾区東金町1-10-8,http://blog.itoyokado.co.jp/shop/039,スーパー,要相談,"東京都/葛飾区/東金町/一丁目/１０番","139.86766","35.77023","5","7"
イトーヨーカドー 上板橋店,板橋区常盤台4-26-1,http://blog.itoyokado.co.jp/shop/027,スーパー,要相談,"東京都/板橋区/常盤台/四丁目/２６番","139.67805","35.76403","5","7"
イトーヨーカドー アリオ内亀有店,葛飾区亀有3丁目49番3号,http://blog.itoyokado.co.jp/shop/234,スーパー,要相談,"東京都/葛飾区/亀有/三丁目/４９番","139.85344","35.76482","5","7"
イトーヨーカドー 亀有駅前店,葛飾区亀有3-26-1,http://blog.itoyokado.co.jp/shop/168,スーパー,要相談,"東京都/葛飾区/亀有/三丁目/２６番","139.84959","35.76678","5","7"
イトーヨーカドー アリオ内北砂店,江東区北砂2-17,http://blog.itoyokado.co.jp/shop/246,スーパー,要相談,"東京都/江東区/北砂/二丁目/１７番","139.82475","35.68237","5","7"
イトーヨーカドー 木場店,江東区木場1-5-30,http://blog.itoyokado.co.jp/shop/209,スーパー,要相談,"東京都/江東区/木場/一丁目/５番","139.80399","35.66499","5","7"
イトーヨーカドー 小岩店,江戸川区西小岩1-24-1,http://blog.itoyokado.co.jp/shop/094,スーパー,要相談,"東京都/江戸川区/西小岩/一丁目/２４番","139.88153","35.73335","5","7"
イトーヨーカドー 国領店,調布市国領町8-2-64,http://blog.itoyokado.co.jp/shop/226,スーパー,要相談,"東京都/調布市/国領町/八丁目/２番","139.56302","35.64703","5","7"
イトーヨーカドー 食品館石神井公園店,東京都練馬区石神井町3丁目23番15号,http://blog.itoyokado.co.jp/shop/266,スーパー,要相談,"東京都/練馬区/石神井町/三丁目/２３番","139.60608","35.74361","5","7"
イトーヨーカドー ザ・プライス千住店,足立区千住3-2,http://blog.itoyokado.co.jp/shop/001,スーパー,要相談,"東京都/足立区/千住/三丁目/２番","139.80092","35.75115","5","7"
イトーヨーカドー 食品館高井戸店,東京都杉並区宮前2丁目1番16号カサ・デ宮前1階,http://blog.itoyokado.co.jp/shop/258,スーパー,要相談,"東京都/杉並区/宮前/二丁目/１番","139.61603","35.69069","5","7"
イトーヨーカドー 高砂店,葛飾区高砂3-12-5,http://blog.itoyokado.co.jp/shop/019,スーパー,要相談,"東京都/葛飾区/高砂/三丁目/１２番","139.86855","35.75050","5","7"
イトーヨーカドー ザ・プライス滝山店,東久留米市滝山4-13-10,http://blog.itoyokado.co.jp/shop/093,スーパー,要相談,"東京都/東久留米市/滝山/四丁目/１３番","139.50427","35.74575","5","7"
イトーヨーカドー 竹の塚店,足立区 竹の塚5丁目17番1号,http://blog.itoyokado.co.jp/shop/070,スーパー,要相談,"東京都/足立区/竹の塚/五丁目/１７番","139.79533","35.79535","5","7"
イトーヨーカドー 立石店,葛飾区立石1-18-3,http://blog.itoyokado.co.jp/shop/006,スーパー,要相談,"東京都/葛飾区/立石/一丁目/１８番","139.84872","35.73795","5","7"
イトーヨーカドー 田無店,西東京市田無町2-1-1 アスタビル2階,http://blog.itoyokado.co.jp/shop/171,スーパー,要相談,"東京都/西東京市/田無町/二丁目/１番","139.54034","35.72834","5","7"
イトーヨーカドー 多摩センター店,多摩市落合1-44,http://blog.itoyokado.co.jp/shop/095,スーパー,要相談,"東京都/多摩市/落合/一丁目/４４番","139.42509","35.62389","5","7"
イトーヨーカドー 戸越店,品川区戸越6-8-2,http://blog.itoyokado.co.jp/shop/013,スーパー,要相談,"東京都/品川区/戸越/六丁目/８番","139.71820","35.60759","5","7"
イトーヨーカドー 食品館中野店,東京都中野区中野4-3-1 中野サンクォーレB1F,http://blog.itoyokado.co.jp/shop/273,スーパー,要相談,"東京都/中野区/中野/四丁目/３番","139.66458","35.70904","5","7"
イトーヨーカドー アリオ内西新井店,足立区西新井栄町1丁目20番1号,http://blog.itoyokado.co.jp/shop/239,スーパー,要相談,"東京都/足立区/西新井栄町/一丁目/２０番","139.78566","35.77472","5","7"
イトーヨーカドー ザ・プライス西新井店,足立区興野1-12-7,http://blog.itoyokado.co.jp/shop/015,スーパー,要相談,"東京都/足立区/興野/一丁目/１２番","139.78206","35.77040","5","7"
イトーヨーカドー ネットスーパー西日暮里店,東京都荒川区西日暮里6-65-1,http://blog.itoyokado.co.jp/shop/210,スーパー,要相談,"東京都/荒川区/西日暮里/六丁目/６５番","139.76683","35.73533","5","7"
イトーヨーカドー 食品館練馬高野台店,東京都練馬区高野台1丁目7番27号,http://blog.itoyokado.co.jp/shop/259,スーパー,要相談,"東京都/練馬区/高野台/一丁目/７番","139.61575","35.74167","5","7"
イトーヨーカドー 拝島店,昭島市松原町3-2-12,http://blog.itoyokado.co.jp/shop/216,スーパー,要相談,"東京都/昭島市/松原町/三丁目/２番","139.34798","35.71570","5","7"
イトーヨーカドー 八王子店,八王子市狭間町1462-1,http://blog.itoyokado.co.jp/shop/197,スーパー,要相談,"東京都/八王子市/狭間町/１４６２番地","139.29094","35.63770","5","7"
イトーヨーカドー 東久留米店,東久留米市本町3-8-1,http://blog.itoyokado.co.jp/shop/165,スーパー,要相談,"東京都/東久留米市/本町/三丁目/８番","139.52885","35.75881","5","7"
イトーヨーカドー 東村山店,東村山市本町2-2-19,http://blog.itoyokado.co.jp/shop/064,スーパー,要相談,"東京都/東村山市/本町/二丁目/２番","139.46635","35.75899","5","7"
イトーヨーカドー 東大和店,東大和市桜が丘2-142-1,http://blog.itoyokado.co.jp/shop/218,スーパー,要相談,"東京都/東大和市/桜が丘/二丁目/１４２番地","139.42398","35.73590","5","7"
イトーヨーカドー 曳舟店,墨田区京島1-2-1,http://blog.itoyokado.co.jp/shop/248,スーパー,要相談,"東京都/墨田区/京島/一丁目/２番","139.81769","35.71650","5","7"
イトーヨーカドー 南大沢店,八王子市南大沢2-28-1,http://blog.itoyokado.co.jp/shop/186,スーパー,要相談,"東京都/八王子市/南大沢/二丁目/２８番","139.37910","35.61297","5","7"
イトーヨーカドー 武蔵小金井店,小金井市本町6丁目14番9号,http://blog.itoyokado.co.jp/shop/242,スーパー,要相談,"東京都/小金井市/本町/六丁目/１４番","139.50569","35.70052","5","7"
イトーヨーカドー 武蔵境店,武蔵野市境南町2-2-20,http://blog.itoyokado.co.jp/shop/083,スーパー,要相談,"東京都/武蔵野市/境南町/二丁目/２番","139.54591","35.70131","5","7"
イトーヨーカドー 四つ木店,葛飾区四つ木2-21-1,http://blog.itoyokado.co.jp/shop/153,スーパー,要相談,"東京都/葛飾区/四つ木/二丁目/２１番","139.83864","35.73702","5","7"
イトーヨーカドー 食品館早稲田店,東京都新宿区早稲田町74番,http://blog.itoyokado.co.jp/shop/260,スーパー,要相談,"東京都/新宿区/早稲田町/７４番","139.72255","35.70590","5","7"
イトーヨーカドー 姉崎店,市原市姉崎645-1,http://blog.itoyokado.co.jp/shop/091,スーパー,要相談,"千葉県/市原市/姉崎/６４５番地","140.04549","35.47962","5","7"
イトーヨーカドー 我孫子店,我孫子市我孫子4-11-1,http://blog.itoyokado.co.jp/shop/162,スーパー,要相談,"千葉県/我孫子市/我孫子/四丁目/１１番","140.00917","35.87655","5","7"
イトーヨーカドー 我孫子南口店,我孫子市本町3-2-28,http://blog.itoyokado.co.jp/shop/142,スーパー,要相談,"千葉県/我孫子市/本町/三丁目/２番","140.01285","35.87128","5","7"
イトーヨーカドー アリオ内市原店,市原市更級四丁目3番2,http://blog.itoyokado.co.jp/shop/267,スーパー,要相談,"千葉県/市原市/更級/四丁目/３番","140.10291","35.50959","5","7"
イトーヨーカドー 食品館おおたかの森,流山市西初石6丁目185番地の2,http://blog.itoyokado.co.jp/shop/237,スーパー,要相談,"千葉県/流山市/西初石/六丁目/１８５番地","139.92624","35.87049","5","7"
イトーヨーカドー 柏店,柏市柏2-15,http://blog.itoyokado.co.jp/shop/025,スーパー,要相談,"千葉県/柏市/柏/二丁目","139.97379","35.86171","5","6"
イトーヨーカドー 食品館鎌ヶ谷店,千葉県鎌ヶ谷市富岡1-1-3,http://blog.itoyokado.co.jp/shop/270,スーパー,要相談,"千葉県/鎌ケ谷市/富岡/一丁目/１番","139.99960","35.77084","5","7"
イトーヨーカドー ザ・プライス五香店,松戸市常盤平5-22-3,http://blog.itoyokado.co.jp/shop/032,スーパー,要相談,"千葉県/松戸市/常盤平/五丁目/２２番","139.96191","35.79583","5","7"
イトーヨーカドー 新浦安店,浦安市明海4-1-1,http://blog.itoyokado.co.jp/shop/206,スーパー,要相談,"千葉県/浦安市/明海/四丁目/１番","139.92258","35.64282","5","7"
