海岸名,住所,県名,地域名,釣れる魚,緯度,経度,トイレ,駐車場,注意事項
旧江戸川河口,江戸川区南葛西,東京,東京湾,"シーバス, クロダイ",35.645456,139.877089,不明,あり（有料）,
葛西臨海公園,江戸川区臨海町,東京,東京湾,"マハゼ, カレイ, スズキ",35.639682,139.857993,あり,,投げ釣り禁止。釣り禁止エリアあり
若洲海浜公園,江東区若洲,東京,東京湾,"マハゼ, カレイ, アナゴ, アイナメ, メバル, ウミタナゴ, スズキ, クロダイ, コノシロ, イワシ",35.622431,139.837189,あり,あり（有料） 500円,投げ釣り禁止、撒き餌禁止
若洲橋,江東区若洲,東京,東京湾,"スズキ, マハゼ, クロダイ",35.647549,139.747658,なし,なし,立ち入り禁止エリアのため注意してください
新木場緑道公園,江東区新木場4丁目,東京,東京湾,"スズキ, マハゼ",35.647034,139.800294,あり,なし,
夢の島緑道公園,江東区夢の島,東京,東京湾,"マハゼ, カレイ, セイゴ",35.648484,139.815752,あり,あり（有料）,投げ釣り禁止、撒き餌禁止
砂町水辺公園,江東区東砂,東京,東京湾,"マハゼ, カレイ, スズキ",35.678633,139.845265,あり,なし,
新木場公園,江東区新木場,東京,東京湾,"マハゼ, メバル, カレイ, スズキ",35.642127,139.823514,,,投げ釣り禁止、撒き餌禁止
潮見さざなみ公園,江東区潮見1丁目,東京,東京湾,"スズキ, マハゼ",35.657552,139.813602,あり,あり（有料）,
汐見運河,江東区塩浜、枝川,東京,東京湾,"マハゼ, スズキ",35.663194,139.810647,なし,なし,
潮見運動公園,江東区潮見1丁目,東京,東京湾,"スズキ, カレイ, マハゼ",35.655272,139.809576,なし,あり,駐車場は夜間閉鎖
東雲水辺公園,江東区東雲,東京,東京湾,"マハゼ, セイゴ",35.64577,139.8065,あり,なし,
相生橋・中の島公園,中央区佃、江東区越中島,東京,東京湾,"マハゼ, スズキ",35.38562,139.910964,なし,なし,隣の越中島公園にトイレあり
永代公園,江東区永代1丁目,東京,東京湾,"マハゼ, スズキ",35.67467,139.788538,あり,なし,
暁ふ頭公園,江東区青海,東京,東京湾,"マハゼ, カレイ, シロギス, メバル, スズキ, サヨリ",35.608406,139.789716,あり,あり（無料）,投げ釣り禁止、撒き餌禁止
朝潮運河,中央区勝どき、月島、豊海町、晴海,東京,東京湾,"マハゼ, スズキ",35.653569,139.776417,あり,あり（有料）,立入禁止エリアあり
有明西ふ頭公園,江東区有明,東京,東京湾,"マハゼ, アナゴ, カレイ, メバル, スズキ",35.627139,139.794619,あり,あり（有料）,投げ釣り禁止、撒き餌禁止
石川島公園,中央区佃2丁目,東京,東京湾,"マハゼ, スズキ",35.668265,139.787204,あり,なし,
越中島公園,江東区越中島1丁目,東京,東京湾,"マハゼ, スズキ",35.670501,139.792329,あり,なし,
海老取川,大田区羽田,東京,東京湾,"マハゼ, スズキ",35.556884,139.75275,あり,あり（有料）,立入禁止エリアあり
青海南ふ頭公園,江東区青海,東京,東京湾,"マハゼ, カレイ, アナゴ, メバル, スズキ",35.614409,139.77825,あり,あり（有料）,投げ釣り禁止、撒き餌禁止
お台場海浜公園,港区台場、品川区東八潮,東京,東京湾,"マハゼ, カレイ, セイゴ",35.629899,139.778779,あり,あり（有料）,投げ釣り・ルアー釣り禁止、撒き餌禁止
勝鬨橋,中央区勝どき1丁目,東京,東京湾,"スズキ, マハゼ",35.662302,139.774817,なし,なし,
京浜運河,品川区八潮、大田区東海,東京,東京湾,"マハゼ, カレイ, スズキ",35.598845,139.750288,あり,あり（有料）,釣り禁止エリアあり
京浜島つばさ公園,大田区京浜島,東京,東京湾,"マハゼ, メバル, スズキ, メジナ",35.571013,139.770478,あり,あり（無料）,
城南島海浜公園,大田区城南島,東京,東京湾,"マハゼ, カレイ, メバル, カサゴ, スズキ",35.578306,139.783415,あり,あり（有料）,釣り禁止エリアあり
月島川,中央区勝どき、中央区月島,東京,東京湾,"マハゼ, スズキ, カレイ",35.662668,139.780358,あり,あり（有料）,近くにコンビニ、コインパーキングあり
佃公園,中央区佃1丁目,東京,東京湾,"マハゼ, スズキ",35.668765,139.782726,あり,なし,
佃堀,中央区佃1丁目,東京,東京湾,マハゼ,35.666554,139.782786,あり,なし,
東海埠頭公園,大田区東海,東京,東京湾,"マハゼ, カレイ, スズキ",35.577749,139.756327,あり,あり（無料）,
豊海運動公園,中央区豊海町,東京,東京湾,"マハゼ, アナゴ, メバル, セイゴ",35.653,139.771969,あり,なし,
晴海ふ頭公園,中央区晴海5丁目,東京,東京湾,"スズキ, マハゼ, メバル, シロギス",35.647393,139.771757,あり,なし,晴海客船ターミナルに有料駐車場あり
水の広場公園,江東区有明,東京,東京湾,"マハゼ, カレイ, スズキ, アナゴ, メバル",35.630219,139.790618,あり,なし,投げ釣り禁止、撒き餌禁止
秋谷港,横須賀市秋谷,神奈川県,三浦半島,"シロギス, メゴチ, ハゼ, メバル, カサゴ, ウミタナゴ, メジナ, クロダイ, イワシ, サバ",35.236953,139.602089,あり,あり（有料）,夜間立入禁止
芦名港,横須賀市芦名,神奈川県,三浦半島,"メジナ, ウミタナゴ, メバル, メゴチ, シロギス",35.232673,139.605214,なし,あり（無料）,
あぶずり港,三浦郡葉山町堀内,神奈川県,三浦半島,"メバル, マハゼ, メゴチ, シロギス, イワシ, カサゴ",35.276977,139.572848,あり,あり（有料）,マリーナでは釣り禁止
油壺,三浦市三崎町小網代,神奈川県,三浦半島,"メバル, ウミタナゴ, メジナ, シロギス, カレイ",35.160091,139.637407,あり,あり（有料） 1000円,
雨崎,三浦市南下浦町金田,神奈川県,三浦半島,"メジナ, ウミタナゴ, シロギス, メバル, クロダイ",35.164113,139.658664,なし,なし,
荒井港,横須賀市長井,神奈川県,三浦半島,"メバル, カサゴ, メゴチ, マハゼ, シロギス",35.208571,139.61286,あり,あり（有料）,立入禁止エリアあり
荒崎,横須賀市長井,神奈川県,三浦半島,"メバル, ウミタナゴ, メジナ, クロダイ, スズキ, イシダイ",35.208571,139.61286,あり,あり,駐車場は夏季有料
石橋堤防,小田原市石橋,神奈川県,西湘,"カサゴ, ムラソイ, メバル",35.224963,139.140935,なし,なし,
磯子海づり施設,横浜市磯子区新磯子町,神奈川県,東京湾,"アジ, イワシ, コノシロ, メバル, アイナメ, カレイ, マゴチ",35.407585,139.626813,あり,なし,大人500円、小中学生300円。釣り竿2本まで等の規則あり
岩港,足柄下郡真鶴町岩,神奈川県,西湘,"カサゴ, ムラソイ, メバル, シロギス, メゴチ, ヒラメ, アオリイカ",35.161809,139.138797,あり,あり（有料）,船溜まり付近は釣り禁止
浮島町公園,川崎市川崎区浮島町,神奈川県,東京湾,"シロギス, ハゼ, カレイ, メバル, スズキ, イワシ",35.5205,139.786236,あり,なし,釣り禁止、立入禁止エリアあり
ウシノクソ,足柄下郡真鶴町真鶴,神奈川県,真鶴半島,"メジナ, クロダイ, イシダイ",35.154052,139.140164,なし,なし,
うみかぜ公園,横須賀市平成町,神奈川県,東京湾,"メバル, ムラソイ, ウミタナゴ, アジ, イワシ, カレイ, メゴチ, スズキ, アイナメ",35.274494,139.681649,あり,あり（有料） 600円,一部釣り禁止エリアあり
海の公園・八景島駅周辺,横浜市金沢区海の公園,神奈川県,東京湾,"メバル, ムラソイ, シロギス, アナゴ, カレイ",35.341308,139.63696,あり,あり（有料） ,公園前の砂浜など釣り禁止エリアあり。八景島も釣り禁止
海辺つり公園,横須賀市平成町,神奈川県,東京湾,"メジナ, メバル, イワシ, アジ, ウミタナゴ, シロギス, カレイ",35.274494,139.681649,あり,あり（有料） 600円,投げ釣り禁止、撒き餌禁止
梅沢堤防,中郡二宮町山西,神奈川県,西湘,"シロギス, メゴチ, イシモチ, カワハギ, カサゴ, メバル, メジナ, サッパ, イワシ, アオリイカ",35.295825,139.252964,あり,あり（無料）,
浦賀港,横須賀市西浦賀、浦賀、東浦賀,神奈川県,三浦半島,"メバル, ウミタナゴ, マハゼ, シロギス, アジ,サバ, イワシ",35.23919,139.72,あり,なし,一部立入禁止エリアあり
漆山港,横須賀市長井,神奈川県,三浦半島,"メゴチ, シロギス, マハゼ, メジナ, メバル",35.2052,139.62987,なし,あり（無料）,
江之浦港,小田原市江之浦,神奈川県,西湘,"スズキ, メジナ, アオリイカ, イワシ, サバ, カサゴ, メゴチ, カレイ, イサキ",35.18704,139.13071,あり,あり（有料）,
大磯港,中郡大磯町大磯,神奈川県,西湘,"マハゼ, メゴチ, シロギス, カワハギ, カレイ, イワシ, コトヒキ, ヒイラギ, メバル, カサゴ",35.31742,139.31552,あり,あり（有料）800円,立入禁止エリアあり
大浦海岸,三浦市南下浦町松輪,神奈川県,三浦半島,"シロギス, カレイ, メバル, ウミタナゴ, クロダイ",35.14702,139.67067,なし,あり（有料）1000円,
大ヶ窪海岸,足柄下郡真鶴町真鶴,神奈川県,真鶴半島,"シロギス, メバル, ムラソイ, カサゴ, メジナ",35.15475,139.13829,なし,なし,
大楠港,横須賀市佐島,神奈川県,三浦半島,"マハゼ, メゴチ, シロギス, ウミタナゴ, メバル, メジナ, アオリイカ",35.22433,139.61768,なし,あり,平日は駐車不可。大楠漁協前は釣り禁止
海外港,三浦市海外町,神奈川県,三浦半島,"メゴチ, シロギス, メバル, ウミタナゴ",35.14676,139.6176,なし,なし,
片瀬漁港,藤沢市片瀬海岸,神奈川県,湘南,"ハゼ, メゴチ, イシモチ, シタビラメ, シロギス, ウミタナゴ, ヒイラギ, イワシ, アジ",35.3095,139.4874,あり,あり（有料）,堤防から投げ釣りは禁止です。
金田海岸,三浦市南下浦町金田,神奈川県,三浦海岸,"シロギス, メゴチ, カレイ, メバル",35.16512,139.65009,あり,あり,金田港は夜釣り禁止
釜の口,足柄下郡真鶴町真鶴,神奈川県,真鶴半島,"メジナ, ムラソイ, カサゴ",35.15475,139.13829,なし,なし,
川崎新堤,川崎市川崎区東扇島,神奈川県,東京湾,"クロダイ, スズキ, アイナメ, メバル, カレイ, シロギス, アジ",35.49643,139.75507,なし,なし,
観音崎,横須賀市鴨居,神奈川県,三浦半島,"ウミタナゴ, メバル, シロギス, メゴチ, ハゼ, カレイ, アイナメ, カサゴ, メジナ, イワシ",35.25044,139.72758,あり,あり,立入禁止エリアあり
観音山,三浦市南下浦町毘沙門,神奈川県,三浦半島,"メジナ, メバル, ウミタナゴ, シロギス, スズキ, アオリイカ",35.14392,139.64714,なし,なし,釣り禁止エリアあり（港のマリーナ周辺）
菊名海岸,三浦市南下浦町菊名,神奈川県,三浦半島,"シロギス, メゴチ, メバル, カサゴ, ウミタナゴ",35.17752,139.64888,あり,あり,
久里浜港,横須賀市久里浜,神奈川県,三浦半島,"マハゼ, メゴチ, シロギス, ヒイラギ, アイナメ, カレイ, メバル, マダコ, イワシ, アジ",35.23322,139.69989,あり,あり（ゆうりょう）,立ち入り禁止エリアあり
久留和港,横須賀市秋谷,神奈川県,三浦半島,"シロギス, メゴチ, ウミタナゴ, メバル, アジ",35.25127,139.59648,あり,あり（有料）,釣り禁止エリアあり
暮浜港（栗谷浜港）,横須賀市長井,神奈川県,三浦半島,"メバル, カサゴ, メジナ, クロダイ, シロギス, ハゼ, メゴチ, アオリイカ",35.2052,139.62987,なし,なし,
